time	V(n002)	V(n011)
1.458462761216272e-03	3.324512e+00	-1.850114e-01
1.468228386216272e-03	3.322591e+00	-1.859805e-01
1.477994011216272e-03	3.320839e+00	-1.868664e-01
1.487759636216272e-03	3.319259e+00	-1.876679e-01
1.497525261216272e-03	3.317852e+00	-1.883840e-01
1.507290886216271e-03	3.316622e+00	-1.890132e-01
1.517056511216271e-03	3.315572e+00	-1.895542e-01
1.526822136216271e-03	3.314704e+00	-1.900052e-01
1.536587761216272e-03	3.314023e+00	-1.903645e-01
1.546353386216272e-03	3.313531e+00	-1.906300e-01
1.556119011216272e-03	3.313235e+00	-1.908000e-01
1.565884636216272e-03	3.313137e+00	-1.908721e-01
1.575650261216272e-03	3.313242e+00	-1.908442e-01
1.585415886216272e-03	3.313555e+00	-1.907137e-01
1.595181511216272e-03	3.314081e+00	-1.904785e-01
1.604947136216272e-03	3.314826e+00	-1.901359e-01
1.614712761216272e-03	3.315793e+00	-1.896836e-01
1.624478386216272e-03	3.316988e+00	-1.891191e-01
1.634244011216272e-03	3.318416e+00	-1.884399e-01
1.644009636216272e-03	3.320081e+00	-1.876438e-01
1.653775261216272e-03	3.321988e+00	-1.867285e-01
1.663540886216272e-03	3.324142e+00	-1.856920e-01
1.673306511216272e-03	3.326545e+00	-1.845325e-01
1.683072136216272e-03	3.329201e+00	-1.832484e-01
1.692837761216272e-03	3.332112e+00	-1.818385e-01
1.702603386216272e-03	3.335281e+00	-1.803016e-01
1.712369011216272e-03	3.338709e+00	-1.786374e-01
1.722134636216272e-03	3.342396e+00	-1.768454e-01
1.731900261216272e-03	3.346341e+00	-1.749260e-01
1.741665886216272e-03	3.350544e+00	-1.728797e-01
1.751431511216271e-03	3.355002e+00	-1.707073e-01
1.761197136216271e-03	3.359714e+00	-1.684103e-01
1.770962761216271e-03	3.364674e+00	-1.659904e-01
1.780728386216272e-03	3.369879e+00	-1.634495e-01
1.790494011216272e-03	3.375326e+00	-1.607901e-01
1.800259636216272e-03	3.381007e+00	-1.580145e-01
1.810025261216272e-03	3.386918e+00	-1.551257e-01
1.819790886216272e-03	3.393052e+00	-1.521266e-01
1.829556511216272e-03	3.399404e+00	-1.490201e-01
1.839322136216272e-03	3.405966e+00	-1.458097e-01
1.844698735012817e-03	3.409667e+00	-1.439987e-01
1.848824784339998e-03	3.412548e+00	-1.425886e-01
1.853427603717827e-03	3.415804e+00	-1.409950e-01
1.858535513603281e-03	3.419467e+00	-1.392015e-01
1.861147645780826e-03	3.421361e+00	-1.382743e-01
1.862850961775680e-03	3.422603e+00	-1.376661e-01
1.863737365128532e-03	3.423252e+00	-1.373485e-01
1.864629688541301e-03	3.423907e+00	-1.370280e-01
1.865449237445836e-03	3.424509e+00	-1.367329e-01
1.866409718446214e-03	3.425217e+00	-1.363863e-01
1.867451153709855e-03	3.425987e+00	-1.360094e-01
1.868561149280339e-03	3.426809e+00	-1.356067e-01
1.870020870542770e-03	3.427894e+00	-1.350751e-01
1.871517900563826e-03	3.429012e+00	-1.345280e-01
1.873777285221730e-03	3.430706e+00	-1.336981e-01
1.876046581153548e-03	3.432418e+00	-1.328599e-01
1.879408790522553e-03	3.434971e+00	-1.316091e-01
1.883214924619877e-03	3.437887e+00	-1.301807e-01
1.888525315925871e-03	3.442000e+00	-1.281659e-01
1.896367924104303e-03	3.448165e+00	-1.251450e-01
1.906133549104303e-03	3.455991e+00	-1.213098e-01
1.915899174104303e-03	3.463975e+00	-1.173960e-01
1.925664799104303e-03	3.472112e+00	-1.134067e-01
1.935430424104303e-03	3.480395e+00	-1.093449e-01
1.945196049104303e-03	3.488818e+00	-1.052138e-01
1.954961674104303e-03	3.497375e+00	-1.010164e-01
1.964727299104303e-03	3.506060e+00	-9.675564e-02
1.974492924104303e-03	3.514865e+00	-9.243464e-02
1.984258549104303e-03	3.523787e+00	-8.805625e-02
1.994024174104303e-03	3.532817e+00	-8.362356e-02
2.003789799104303e-03	3.541951e+00	-7.913937e-02
2.013555424104303e-03	3.551183e+00	-7.460678e-02
2.023321049104303e-03	3.560505e+00	-7.002858e-02
2.033086674104303e-03	3.569913e+00	-6.540787e-02
2.042852299104303e-03	3.579401e+00	-6.074746e-02
2.052617924104303e-03	3.588962e+00	-5.605043e-02
2.062383549104303e-03	3.598590e+00	-5.131963e-02
2.072149174104303e-03	3.608279e+00	-4.655816e-02
2.081914799104303e-03	3.618024e+00	-4.176887e-02
2.091680424104303e-03	3.627817e+00	-3.695490e-02
2.101446049104303e-03	3.637654e+00	-3.211915e-02
2.111211674104303e-03	3.647527e+00	-2.726478e-02
2.120977299104303e-03	3.657431e+00	-2.239472e-02
2.130742924104303e-03	3.667360e+00	-1.751219e-02
2.140508549104303e-03	3.677306e+00	-1.262016e-02
2.150274174104303e-03	3.687263e+00	-7.721888e-03
2.160039799104303e-03	3.697226e+00	-2.820417e-03
2.169805424104303e-03	3.707188e+00	2.080934e-03
2.179571049104303e-03	3.717141e+00	6.979058e-03
2.189336674104303e-03	3.727080e+00	1.187056e-02
2.199102299104303e-03	3.736998e+00	1.675225e-02
2.208867924104303e-03	3.746888e+00	2.162064e-02
2.218633549104303e-03	3.756742e+00	2.647245e-02
2.228399174104303e-03	3.766555e+00	3.130407e-02
2.238164799104303e-03	3.776318e+00	3.611211e-02
2.247930424104303e-03	3.786025e+00	4.089285e-02
2.257696049104303e-03	3.795667e+00	4.564275e-02
2.267461674104303e-03	3.805238e+00	5.035799e-02
2.277227299104303e-03	3.814730e+00	5.503488e-02
2.286992924104303e-03	3.824135e+00	5.966948e-02
2.296758549104303e-03	3.833445e+00	6.425799e-02
2.306524174104303e-03	3.842652e+00	6.879634e-02
2.316289799104303e-03	3.851748e+00	7.328070e-02
2.326055424104303e-03	3.860725e+00	7.770695e-02
2.335821049104303e-03	3.869574e+00	8.207121e-02
2.345586674104303e-03	3.878289e+00	8.636946e-02
2.355352299104303e-03	3.886860e+00	9.059793e-02
2.365117924104303e-03	3.895281e+00	9.475276e-02
2.374883549104303e-03	3.903543e+00	9.883044e-02
2.384649174104303e-03	3.911641e+00	1.028275e-01
2.394414799104303e-03	3.919568e+00	1.067408e-01
2.404180424104303e-03	3.927317e+00	1.105673e-01
2.413946049104303e-03	3.934884e+00	1.143045e-01
2.423711674104303e-03	3.942263e+00	1.179502e-01
2.433477299104303e-03	3.949452e+00	1.215024e-01
2.443242924104303e-03	3.956447e+00	1.249596e-01
